id,candidate,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,name,retweet_count,text,user_timezone,,,,,,,,,,,,,,tweet_created
237,Donald Trump,yes,1,Negative,1,None of the above,jojo21,12,"RT @mrskimcam: Trump just said the U.S. is stupid, so let's vote him President. WTF people. #GOPDebate","Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,28-12-2019 09:54
238,John Kasich,yes,1,Positive,1,None of the above,ultrasonkim,0,So excited for @johnkasich #GOPDebate #Kasich4Us #Republicandebate #kasich2016 been waiting for 20 years!!,central ohio,,,,,,,,,,,,,,29-12-2019 09:54
239,No candidate mentioned,yes,1,Neutral,0.6222,Foreign Policy,BeetaBenjy,38,"RT @ChadPergram: Rep Engel is 2nd major Jewish Democrat to announce opposition to Iran deal during #GOPDebate, following Schumer opposition.","Los Angeles, CA",Pacific Time (US & Canada),,,,,,,,,,,,,30-12-2019 09:54
240,Donald Trump,yes,1,Negative,1,None of the above,amarco16,0,Hey look it's my feelings about Donald Trump summed up in one gif #GOPDebate http://t.co/zjWUGwj9Hz,,Quito,,,,,,,,,,,,,31-12-2019 09:54
241,No candidate mentioned,yes,1,Neutral,1,None of the above,PotTube,466,"RT @tommychong: Are any of these dudes for the legalization of marijuana, or what? #GOPDebate","Washington, USA",,,,,,,,,,,,,,01-01-2020 09:54
242,No candidate mentioned,yes,0.6684,Neutral,0.6684,None of the above,PamelafBrockman,13,"RT @CBeresniova: What I learned from the #GOPDebate:
Some guy's dad was a mailman. Jesus Christ is everyone's running mate. The GOP has run๏ฟฝ","Boulder, Colorado",Mountain Time (US & Canada),,,,,,,,,,,,,02-01-2020 09:54
243,Marco Rubio,yes,0.6341,Negative,0.6341,Immigration,AWorldOutOfMind,9,RT @TheBaxterBean: Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers http://t.co/We77QdT3Kt #GOPDebate http://t๏ฟฝ,USA,Eastern Time (US & Canada),,,,,,,,,,,,,03-01-2020 09:54
244,No candidate mentioned,yes,1,Negative,0.6418,None of the above,BenjaminMilem,483,RT @DamienFahey: ๏ฟฝ๏ฟฝ๏ฟฝI french-kissed Jesus Christ!๏ฟฝ๏ฟฝ๏ฟฝ - Every candidat,,Eastern Time (US & Canada),,,,,,,,,,,,,04-01-2020 09:54
245,Mike Huckabee,yes,1,Negative,0.6744,None of the above,mayapilbrow,0,#GOPDebate #Closingstatements @GovMikeHuckabee just be honest. u were defs talking about @realDonaldTrump coz he's stealing ur schtick,your actual anus,Hawaii,,,,,,,,,,,,,05-01-2020 09:54
246,No candidate mentioned,yes,1,Negative,1,FOX News or Moderators,havocthetwisted,0,"When cnn, msnbc ,and the new York times praise fox moderators then you know the moderators fucked up. #GOPDebate",find me,,,,,,,,,,,,,,06-01-2020 09:54
247,Donald Trump,yes,1,Negative,1,None of the above,jojo21,11,RT @kesgardner: Trump is a lunatic. #GOPDebate,"Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,07-01-2020 09:54
248,Ted Cruz,yes,1,Positive,1,None of the above,ChuckNellis,6,"Cruz has class &amp; truth, that gets my vote! #GOPDebate",Great State of North Carolina!,Eastern Time (US & Canada),,,,,,,,,,,,,08-01-2020 09:54
249,Donald Trump,yes,1,Negative,0.6146,Immigration,jojo21,14,"RT @kesgardner: AssClown: I'm the only reason anyone is even talking about illegal immigration. Keep digging, Donald! #GOPDebate","Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,09-01-2020 09:54
250,No candidate mentioned,yes,1,Positive,0.6395,None of the above,embutkiewicz,4270,RT @BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. #GOPDebate #DebateWithBernie,,,,,,,,,,,,,,,10-01-2020 09:54
251,No candidate mentioned,yes,0.7091,Negative,0.7091,None of the above,talkthatcunt,102,RT @SouthernHomo: Olivia Pope would not vote for any of these guys #GOPDebate,porto triste,Brasilia,,,,,,,,,,,,,11-01-2020 09:54
252,Mike Huckabee,yes,1,Negative,0.6738,Jobs and Economy,heatheremoore,0,All #GOP candidates want to reduce taxes while #Huckabee wants to legalize prostitution and drugs so we can tax it. #GOPDebate,"Olympia, WA",Pacific Time (US & Canada),,,,,,,,,,,,,12-01-2020 09:54
253,Donald Trump,yes,1,Negative,1,FOX News or Moderators,jojo21,67,"RT @kesgardner: Hi Fox panel, can you just ask Donald every single question? Hand him a shovel while you're at it so he can keep digging. #๏ฟฝ","Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,13-01-2020 09:54
254,No candidate mentioned,yes,1,Neutral,0.6818,None of the above,Jaytrepanier,4,RT @JosephKapsch: And then hillaryclinton @barackobama joebiden were all... #GOPDebate https://t.co/yi4qnS3Hzh,,Eastern Time (US & Canada),,,,,,,,,,,,,14-01-2020 09:54
255,Donald Trump,yes,0.6495,Positive,0.6495,None of the above,robertaritzen,0,#GOPDebate #Trump is Breaking Records! So what he's not a polished Politician. Makes me love him even more.  https://t.co/TgOwCHxf3x,"Tulsa/ From Jacksonville,Fl ",Central Time (US & Canada),,,,,,,,,,,,,15-01-2020 09:54
256,No candidate mentioned,yes,1,Negative,0.6701,None of the above,embutkiewicz,3385,RT @BernieSanders: Oh. It was just a movie trailer. #GOPDebate #DebateWithBernie,,,,,,,,,,,,,,,16-01-2020 09:54
257,No candidate mentioned,yes,1,Negative,0.3516,FOX News or Moderators,sweetsabina,135,RT @TacticalDissent: So Sally Kohn &amp; Debbie Wasserman Schultz both  praising Megyn Kelly tonight. That should tell you everything you need ๏ฟฝ,,Hawaii,,,,,,,,,,,,,17-01-2020 09:54
258,Donald Trump,yes,1,Negative,1,Women's Issues (not abortion though),beetlechocolate,0,Why are all the Trump accessory women wearing the same shoes?!  #GOPDebate http://t.co/Xz4zc1Lt8N,everything is fake.,Central Time (US & Canada),,,,,,,,,,,,,18-01-2020 09:54
259,No candidate mentioned,yes,1,Neutral,0.3596,None of the above,LordWhatAMess,0,"funniest line coming fr #republican 'People are frustrated, they๏ฟฝ๏ฟฝ๏ฟฝre fed up, they don๏ฟฝ๏ฟฝ๏ฟฝt think the government๏ฟฝ๏ฟฝ๏ฟฝs working fo",,Eastern Time (US & Canada),,,,,,,,,,,,,19-01-2020 09:54
260,Donald Trump,yes,1,Negative,1,None of the above,_iheartmomo,0,And Donald Trump is an absolute nut! So entertaining LOL #GOPDebate,"Accra, New Jersey",Mountain Time (US & Canada),,,,,,,,,,,,,20-01-2020 09:54
261,No candidate mentioned,yes,1,Negative,0.6703,FOX News or Moderators,shyone269,0,"""@thehill: Top GOP pundits pick their #GOPdebate winners: http://t.co/QPvJu6p7sz http://t.co/JCDu5qzjnj""
Winners...Fox News
Losers...USA",Not where I want to be U.S.A.,America/New_York,,,,,,,,,,,,,21-01-2020 09:54
262,No candidate mentioned,yes,1,Negative,1,None of the above,elueroy,6,RT @DykstraDame: Candidates went after @HillaryClinton 32 times in the #GOPdebate-but remained silent about the issues that affect us. http๏ฟฝ,,Pacific Time (US & Canada),,,,,,,,,,,,,22-01-2020 09:54
263,Donald Trump,yes,1,Negative,0.7039,FOX News or Moderators,JCArgentum,231,RT @DanScavino: .@MegynKelly trying 2show up @realDonaldTrump w @FoxNews. Trying 2take him down. Trying 2destroy him. Not happening. #Kelly๏ฟฝ,,,,,,,,,,,,,,,23-01-2020 09:54
264,Ben Carson,yes,1,Negative,0.3678,None of the above,Matthew8News,0,RT @gov: Most-Tweeted #GOPDebate moment for @RealBenCarson: saying he wouldn't publicize to the world his answer on waterboarding.,"Richmond, VA",Eastern Time (US & Canada),,,,,,,,,,,,,24-01-2020 09:54
265,Donald Trump,yes,1,Negative,1,None of the above,janniaragon,0,I give him a e for his big ego. #GOPDebate A's are earned for excellence. Rhymes with rump.,,Pacific Time (US & Canada),,,,,,,,,,,,,25-01-2020 09:54
266,No candidate mentioned,yes,1,Positive,0.6552,Religion,DrThinkBot,0,Passion of the #GOPDebate #ReligiousUpaMovie,,,,,,,,,,,,,,,26-01-2020 09:54
267,Marco Rubio,yes,0.6629,Positive,0.6629,FOX News or Moderators,TEA_PartyBarbie,28,"RT @NRO: ""@marcorubio got the best reviews, and deserved them."" Read more of our #NREditorial recap of the #GOPDebate ---&gt; http://t.co/sTzw๏ฟฝ",,,,,,,,,,,,,,,27-01-2020 09:54
268,No candidate mentioned,yes,0.6383,Neutral,0.3511,None of the above,8thfloorview,140,RT @OhNoSheTwitnt: Can't wait to see which Lannister they kill off in the next episode of #GOPDebate,"New Jersey, USA",,,,,,,,,,,,,,28-01-2020 09:54
269,No candidate mentioned,yes,1,Positive,0.6819,None of the above,jojo21,5,RT @kesgardner: Brutal question to the AssClown from Megan Kelly. The lesson here: be careful what you tweet on Twitter! #GOPDebate,"Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,29-01-2020 09:54
270,No candidate mentioned,yes,0.6304,Neutral,0.6304,None of the above,MexiRicanLL,141,RT @TUSK81: Democrats watching this #GOPDebate http://t.co/sZiCSLm7kM,Born Chicago/Live Pennsylvania,Eastern Time (US & Canada),,,,,,,,,,,,,30-01-2020 09:54
271,Donald Trump,yes,1,Negative,1,Abortion,Clever_Otter,0,Trump changed his mind on supporting PARTIAL BIRTH ABORTION because a friend changed their mind on aborting &amp; had a great kid. #GOPDebate,Earth,Mountain Time (US & Canada),,,,,,,,,,,,,31-01-2020 09:54
272,Ben Carson,yes,1,Positive,1,None of the above,annemargaretj,0,Best closing statement: @RealBenCarson #GOPDebate,"Breslau, Ontario ",,,,,,,,,,,,,,01-02-2020 09:54
273,Chris Christie,yes,1,Positive,0.7021,None of the above,sjrhue3,96,"RT @ChrisChristie: We have to stop worrying about being loved &amp; start worrying about being respected. #TellingItLikeItIs #GOPDebate
https:/๏ฟฝ",,,,,,,,,,,,,,,02-02-2020 09:54
274,Donald Trump,yes,0.6353,Negative,0.6353,,KendaluKendalu,2,"RT @lesleyabravanel: Trump sycophants want to know what @megynkelly's ""hidden agenda"" was last night. Answer is simple: it's called a vagin๏ฟฝ",Toronto - Cartagena,Atlantic Time (Canada),,,,,,,,,,,,,03-02-2020 09:54
275,No candidate mentioned,yes,1,Neutral,0.6437,FOX News or Moderators,1216BJ,0,The Real #GOPDebate Winner: Republican Voters - Fox Nation http://t.co/98G42IaZ5O,,Eastern Time (US & Canada),,,,,,,,,,,,,04-02-2020 09:54
276,Donald Trump,yes,0.6264,Negative,0.6264,,BigBigBen,0,Donald Trump is a really nasty piece of work. Hope he disappears quickly. #GOPDebate,Barcelona,Madrid,,,,,,,,,,,,,10-10-2015 09:54
277,No candidate mentioned,yes,1,Negative,1,Abortion,willowalmighty,608,RT @amaraconda: FETUSES ARE NOT UNBORN BABIES THEY ARE CLUSTERS OF CELLS STOP SHAMING PEOPLE WHO WANT/HAVE HAD ABORTIONS #GOPDebate,,Atlantic Time (Canada),,,,,,,,,,,,,10-11-2015 09:54
278,No candidate mentioned,yes,1,Positive,0.6774,None of the above,CitizenKane95,3,RT @mattkbh: These were far and away the best tweets of last night #DebateWithBernie #GOPDebate http://t.co/GzdLtYuMNn,,Quito,,,,,,,,,,,,,10-12-2015 09:54
279,Chris Christie,yes,1,Neutral,1,None of the above,pattmlatimes,0,I know now who it is that #ChrisChristie reminds me of: actor Andy Devine. #GOPDebate http://t.co/xYy8FxPjcD,,Hawaii,,,,,,,,,,,,,10/13/2015 9:54
280,Mike Huckabee,yes,1,Negative,1,Jobs and Economy,EightfoldWay,959,"RT @pattonoswalt: Despite what Huckabee says, I always make sure my prostitute AND her pimp pay FICA and pension. #GOPDebate",,,,,,,,,,,,,,,10/14/2015 9:54
281,No candidate mentioned,yes,0.6344,Neutral,0.6344,None of the above,JohaLittle,38,"RT @Bipartisanism: Hillary Clinton was watching the #GOPDebate like:
 http://t.co/VOkOlq52xP",,,,,,,,,,,,,,,10/15/2015 9:54
282,No candidate mentioned,yes,1,Positive,0.6629,FOX News or Moderators,slickjenkins,0,@FoxNews did great by challenging the candidates in #GOPDebate. If these candidates can't handle a tough question they could never b #POTUS,"Chattanooga, Tennessee",,,,,,,,,,,,,,10/16/2015 9:54
283,No candidate mentioned,yes,1,Negative,1,FOX News or Moderators,panjandrum44,56,RT @k_mcq: I๏ฟฝ๏ฟฝ๏ฟฝd say it was the opposite. Megan Kelly acted like some SJW on Tumblr whining about feminism. Very sad. #GOPDebate  https://,The brachistochrone trajectory,Eastern Time (US & Canada),,,,,,,,,,,,,10/17/2015 9:54
284,No candidate mentioned,yes,0.6706,Positive,0.3412,None of the above,Mariann44764635,1,RT @Conssista: Rightly so Frank. Rightly so. #GOPDebate  https://t.co/32CFasI17d,"Pomaria,SC",,,,,,,,,,,,,,10/18/2015 9:54
285,No candidate mentioned,yes,1,Negative,1,None of the above,jasxnadams,0,the number of times that ronald reagan is mentioned in the #GOPDebate is TOO DAMN HIGH,"Keller, TX",Central Time (US & Canada),,,,,,,,,,,,,10/19/2015 9:54
286,Donald Trump,yes,1,Negative,1,None of the above,4closureNation2,1216,"RT @pattonoswalt: If Trump is against ""p.c. culture,"" I'm suddenly 100% for it. Not even kidding. What a howling shit-cave of a human. #GOP๏ฟฝ",California,Arizona,,,,,,,,,,,,,10/20/2015 9:54
287,Ben Carson,yes,1,Positive,1,Racial issues,a3auntie,96,RT @carljacksonshow: #BenCarson great close! He operates on brains so he doesn't worry about skin color. #GOPDebate,,Atlantic Time (Canada),,,,,,,,,,,,,10/21/2015 9:54
288,Donald Trump,yes,1,Negative,0.6538,Women's Issues (not abortion though),libertylady44,25,"RT @Davante_R: Women that would be offended by Trumps ""Misogyny"" most certainly don't vote Republican.

Find a new fake issue Faux News.

#๏ฟฝ",,,,,,,,,,,,,,,10/22/2015 9:54
289,No candidate mentioned,yes,1,Negative,1,Religion,JaysWorldLive,1,RT @Auntcol54: Keep religion out of politics! #GOPDebate,"Tamap, FL",Eastern Time (US & Canada),,,,,,,,,,,,,10/23/2015 9:54
290,Rand Paul,yes,1,Neutral,0.6714,None of the above,sandphillips,39,"RT @DianneG: ""I won't be bought &amp; I won't be sold"" @randpaul after reiterating his points against @realDonaldTrump during #gopdebate",USA and proud of it.,,,,,,,,,,,,,,10/24/2015 9:54
291,No candidate mentioned,yes,0.6383,Negative,0.3298,None of the above,rabiaaaa_k,571,"RT @wilw: Boy, I bet the mood in the clown car is going to be TENSE when these jerks leave the #GOPDebate.",Coolsville,Pacific Time (US & Canada),,,,,,,,,,,,,10/25/2015 9:54
292,Ben Carson,yes,1,Positive,1,None of the above,113hannah,2,RT @CampeauElliot: Dr. Ben Carson did a great job tonight! Loved your closing statement! @RealBenCarson #GOPDebate,,Central Time (US & Canada),,,,,,,,,,,,,10/26/2015 9:54
293,Donald Trump,yes,1,Neutral,0.7188,FOX News or Moderators,TorchOnHigh,1,RT @RedheadAndRight: Meet the new darling of the left ๏ฟฝ๏ฟฝ๏ฟฝ Megyn Gotcha Kelly. #GOPDebate @FoxNews #DonaldTrump #Megy,Musician/Recording Eng  - CA,Pacific Time (US & Canada),,,,,,,,,,,,,10/27/2015 9:54
294,No candidate mentioned,yes,1,Negative,1,FOX News or Moderators,held_jana,0,���@foxnewspolitics: Behind the Fox debate: How the anchors hashed out the questions #GOPDebate They Failed,,,,,,,,,,,,,,,10/28/2015 9:54
295,No candidate mentioned,yes,1,Negative,1,None of the above,FashnDiva,0,Did anyone get trashed playing @RollingStone's #GOPDebate drinking game?   #drinkinggame,"Small Town, Ohio",Quito,,,,,,,,,,,,,10/29/2015 9:54
296,Donald Trump,yes,1,Negative,1,None of the above,Alisonnj,0,"If #DonaldTrump donates to U..He can call in a favor years later?? Sounds like #TheGodfather
NOT #POTUS Thats legal?
#GOPDebate #GOPClownCar",Northeast USA,Eastern Time (US & Canada),,,,,,,,,,,,,10/30/2015 9:54
297,No candidate mentioned,yes,1,Negative,1,None of the above,Spence4782,1,RT @jediane9: Ugh to think there were actually people sitting on their couch last night saying YES YES THIS IS REASONABLE. #GOPDebate,"Lawton, Oklahoma",,,,,,,,,,,,,,10/31/2015 9:54
298,No candidate mentioned,yes,0.6667,Neutral,0.3434,Foreign Policy,CaffeineHound,5,"RT @BarracudaMama: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/E1SmU0Hn5J""",Heartland of USA,Central Time (US & Canada),,,,,,,,,,,,,11-01-2015 09:54
299,Donald Trump,yes,1,Negative,1,None of the above,jojo21,8,"RT @kesgardner: If politics can be even partially rational, Trump's campaign for the GOP nomination just ended. #GOPDebate","Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,11-02-2015 09:54
300,Ben Carson,yes,1,Neutral,0.6304,None of the above,NatResourceGal,9,"RT @AndrewHClark: .@GayPatriot's takeaway from last night: ""America Doesn't Deserve Ben Carson."" http://t.co/kjGFYYpcTe #GOPDebate",The South,Central Time (US & Canada),,,,,,,,,,,,,11-03-2015 09:54
301,Scott Walker,yes,1,Negative,1,Abortion,Mike_EH_52,19,RT @ChrisJZullo: Scott Walker chooses killing mother rather than aborting unborn embryo. This is reason other countries give us that funny ๏ฟฝ,"HALIFAX,NS",Atlantic Time (Canada),,,,,,,,,,,,,11-04-2015 09:54
302,No candidate mentioned,yes,1,Negative,0.6425,Abortion,ShawDeuce,0,Can't #UniteBlue: Abortion is a talking point in the #GOPDebate since #PPSellsBabyParts,"AnyWhere I WannaBe, USA!!",Eastern Time (US & Canada),,,,,,,,,,,,,11-05-2015 09:54
303,No candidate mentioned,yes,1,Negative,0.6374,Immigration,Nick_1453,36,RT @k_mcq: Closing statements reminisce about an America that no longer exists after Ted Kennedy๏ฟฝ๏ฟฝ๏ฟฝs 1965 Immigration and Nationality Act.,UK,London,,,,,,,,,,,,,11-06-2015 09:54
304,Chris Christie,yes,0.6797,Neutral,0.6797,None of the above,Hay_Bay123,12,RT @lkwdcitizen: Can't make this up - Chris Christie stopped at a Cleveland ice cream shop before the #GOPDebate. http://t.co/V8WVYFeXx9,,,,,,,,,,,,,,,11-07-2016 09:54
305,Ted Cruz,yes,1,Negative,1,None of the above,BillSeitz,224,RT @maureenjohnson: Ted Cruz is going to personally take away your telescope and try you as a witch. #GOPDebate,60010,Central Time (US & Canada),,,,,,,,,,,,,12-07-2016 09:54
306,Donald Trump,yes,0.6264,Positive,0.6264,None of the above,shortyharris01,0,@realDonaldTrump You killed it last night at the #GOPDebate glad to have some that cares for America  #MakeAmericaGreatAgain,,,,,,,,,,,,,,,13-07-2016 09:54
307,No candidate mentioned,yes,1,Positive,1,None of the above,EscapeVelo,50,RT @YoungBLKRepub: When the #GOPDebate is more exciting than anything else on tv in the past 10 years....,Twitter,,,,,,,,,,,,,,14-07-2016 09:54
308,No candidate mentioned,yes,1,Positive,0.3547,None of the above,levijeansc0,509,"RT @abbijacobson: Shiiiittt, it's tough to say who is making me more horny. #GOPDebate","San Francisco, CA",Quito,,,,,,,,,,,,,15-07-2016 09:54
309,Donald Trump,yes,1,Neutral,0.3721,FOX News or Moderators,southernlady111,0,".@megynkelly  asked .@realDonaldTrump  poor questions, why, was this to help Bush in the polls? #Hannity #GOPDebate https://t.co/p389iIlE2N",,,,,,,,,,,,,,,16-07-2016 09:54
310,No candidate mentioned,yes,1,Positive,0.6667,FOX News or Moderators,MiraKarell,0,"@bullriders1 @Olivianuzzi @daveweigel The #GOPDebate was better than I thought it'd be, though candidates finessed issues with sound bytes.","Gaithersburg, MD",Central Time (US & Canada),,,,,,,,,,,,,17-07-2016 09:54
311,Marco Rubio,yes,1,Negative,0.6958,Foreign Policy,stonewallrgv,12,RT @TheBaxterBean: Yes Marco Rubio Actually Said The Iraq Invasion 'Was Not A Mistake' http://t.co/xRowKHyMm1 #GOPDebate http://t.co/vjMjdM๏ฟฝ,"McAllen, Texas",Central Time (US & Canada),,,,,,,,,,,,,18-07-2016 09:54
312,Marco Rubio,yes,1,Negative,0.675,None of the above,Myop1357,19,RT @TheBaxterBean: Marco Rubio Voted Against Unemployment Benefits Even Though Florida Needs Them Most http://t.co/2i6UolSctj #GOPDebate ht๏ฟฝ,orlando,Eastern Time (US & Canada),,,,,,,,,,,,,19-07-2016 09:54
313,Jeb Bush,yes,1,Positive,1,None of the above,PeakBullshit,0,#JebBush was so thoughtful in #GOPdebate - #reThink911 http://t.co/k37hnbe2jy,,,,,,,,,,,,,,,20-07-2016 09:54
314,Jeb Bush,yes,0.6277,Negative,0.6277,,karaklev,36,"RT @TheJimHughes: There will be a lot of jobs available if Bush serves 2 terms, because most Conservatives will have committed suicide. #GO๏ฟฝ","OKC, OK",,,,,,,,,,,,,,21-07-2016 09:54
315,No candidate mentioned,yes,1,Positive,1,FOX News or Moderators,GallSueJoe,0,"Huh. Watching @FoxNews debate #1 and so far, the moderators and the participants are better! #GOPDebate",Too Blue CT,Hawaii,,,,,,,,,,,,,22-07-2016 09:54
316,Donald Trump,yes,0.6477,Negative,0.6477,,jodagolf,9,RT @3ChicsPolitico: Donald Trump insulted @megynkelly and ALL women and not one man on stage confronted him. None of them are worthy to be ๏ฟฝ,,,,,,,,,,,,,,,23-07-2016 09:54
317,Donald Trump,yes,0.6264,Negative,0.6264,,BunnySlope,72,"RT @jjauthor: @learjetter, I was waiting for @megynkelly to ask @realDonaldTrump, ""When did you stop beating your wife?"" #GOPDebate http://๏ฟฝ",Fly-over town,Central Time (US & Canada),,,,,,,,,,,,,24-07-2016 09:54
318,No candidate mentioned,yes,1,Negative,0.6407,None of the above,MYKALFURY,14,RT @AndreaTantaros: About last night. Are you watching @OutnumberedFNC ? We got @ericbolling and all the good stuff from the #GOPDebate on ๏ฟฝ,METAL * ROCK * GRUNGE,,,,,,,,,,,,,,25-07-2016 09:54
319,No candidate mentioned,yes,1,Negative,0.6706,FOX News or Moderators,Al_Rodricks,21,"RT @renomarky: EARTH TO @megynkelly THIS AINT ABOUT YOU! 

#GOPDebate 
#FoxDebate 
#MegynKelly 
#MegynKellyDebateQuestions http://t.co/yxHy๏ฟฝ","Emerald City, Land of OZ",Eastern Time (US & Canada),,,,,,,,,,,,,26-07-2016 09:54
320,Rand Paul,yes,1,Neutral,0.6667,None of the above,jojo21,17,RT @kesgardner: And...Rand Paul lands the first haymaker of the night. #GOPDebate,"Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,27-07-2016 09:54
321,No candidate mentioned,yes,0.6929,Neutral,0.6929,None of the above,randomrid2,2,RT @TaraSetmayer: Coming up on @WilkowMajority at 1220pm live! @SIRIUSXM #Patriot125 post #GOPDebate,www.tommyrobinson.co.uk,,,,,,,,,,,,,,28-07-2016 09:54
322,No candidate mentioned,yes,0.6778,Neutral,0.6778,None of the above,JaxAlemany,0,"""Because Republicans don't like Rosie O'Donnell."" ICYMI, @FrankLuntz #GOPDebate debrief this AM on @CBSThisMorning http://t.co/nQIUIccOlB", D.C. | N.H. ,Quito,,,,,,,,,,,,,29-07-2016 09:54
323,No candidate mentioned,yes,0.6843,Negative,0.6843,None of the above,msadrienne29,0,"#FFF: Highlights from this week include #NationalUnderwearDay, the #GOPDebate, and #JonVoyage. Officially. The. Worst. Week. Ever.
#TGIF",,,,,,,,,,,,,,,30-07-2016 09:54
324,No candidate mentioned,yes,1,Neutral,0.6736,None of the above,BioAnnie1,1,RT @greenspaceguy: @TheDailyShow Jon Stewart can feel comfortable w/retirement as #GOPDebate solved all problems(personal &amp; scientific) htt๏ฟฝ,,Hawaii,,,,,,,,,,,,,31-07-2016 09:54
325,No candidate mentioned,yes,0.6506,Negative,0.6506,None of the above,jojo21,7,"RT @kesgardner: Of course, the AssClown won't pledge not to run as a third party candidate. #GOPDebate","Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,01-08-2016 09:54
326,Donald Trump,yes,1,Negative,1,None of the above,SadhbhWalshe,0,"Paul Krugman sums up what happended last night: ""One of our two major parties has gone off the deep end"" http://t.co/gkubEM7gE7 #GOPDebate",,Dublin,,,,,,,,,,,,,02-08-2016 09:54
327,No candidate mentioned,yes,1,Negative,1,None of the above,AuthorRCallari,1,RT @EQphoto: Just remember no matter wins the #GOPDebate everyone who watched it loses #alcoholpoisoning,,Atlantic Time (Canada),,,,,,,,,,,,,03-08-2016 09:54
328,Donald Trump,yes,1,Negative,0.686,None of the above,Michael6395951,240,RT @AnthonyMarlowe: #Trump #Video It cost 4 times more than the $700M it would've if it were being managed by @realDonaldTrump #GOPDebate h๏ฟฝ,"California, USA",,,,,,,,,,,,,,04-08-2016 09:54
329,No candidate mentioned,yes,1,Negative,0.6778,FOX News or Moderators,WhatRepublic,0,@megynkelly you disgraced yourself last night... #GOPDebate,Soviet Republik of Kalifornia ,Eastern Time (US & Canada),,,,,,,,,,,,,05-08-2016 09:54
330,Donald Trump,yes,0.6531,Negative,0.6531,None of the above,KasenFanning,26,RT @proginosko: Prediction: in the final #GOPDebate Donald Trump will tear off his #MissionImpossible mask to reveal a smirking Jon Stewart.,,Eastern Time (US & Canada),,,,,,,,,,,,,06-08-2016 09:54
331,No candidate mentioned,yes,1,Positive,0.3488,None of the above,Nic_Pel,0,"#Fallon to Jon #Stewart: ""Please Come Back, I Can๏ฟฝ๏ฟฝ๏ฟฝt Do It"" https://t.co/IUa0hy2UC6 #GOPDebate #Politics","Qu๏ฟฝ๏ฟฝbec, Ca",Eastern Time (US & Canada),,,,,,,,,,,,,07-08-2016 09:54
332,No candidate mentioned,yes,1,Neutral,1,Foreign Policy,EJudy87306745,21,"RT @BBCJonSopel: In midst of #GOPDebate came big blow to @BarackObama with announcement that leading Jewish Democrat, Sen. Schumer, won't b๏ฟฝ",,,,,,,,,,,,,,,08-08-2016 09:54
333,Ted Cruz,yes,1,Negative,0.6865,None of the above,jojo21,4,RT @kesgardner: Ted Cruz is angling himself to be a slightly less loony version of Donald Trump. #GOPDebate,"Ellicott City, Maryland",Eastern Time (US & Canada),,,,,,,,,,,,,09-08-2016 09:54
334,Donald Trump,yes,1,Negative,0.3596,FOX News or Moderators,RedheadAndRight,1,Meet the new darling of the left ๏ฟฝ๏ฟฝ๏ฟฝ Megyn Gotcha Kelly. #GOPDebate @FoxNews #DonaldTrump #Megy,,Pacific Time (US & Canada),,,,,,,,,,,,,10-08-2016 09:54
335,No candidate mentioned,yes,1,Negative,1,Abortion,slone,32,RT @toddstarnes: That abortion question ๏ฟฝ๏ฟฝ๏ฟฝ disgusting. #GOP,��� Right where God wants me ���,Eastern Time (US & Canada),,,,,,,,,,,,,11-08-2016 09:54
336,No candidate mentioned,yes,1,Negative,0.7021,FOX News or Moderators,walotusi,0,"@nytimes and @CNN praised @FoxNews and they thought they did a good job #GOPDebate 
Not a good thing","Bi-Coastal, U.S.A",,,,,,,,,,,,,,12-08-2016 09:54
337,No candidate mentioned,yes,1,Neutral,0.7024,None of the above,RonBasler1,1,"RT @TexasCruzn: RT @AllenWestRepub ""RT @oliverdarcy Debbie Wasserman-Schultz statement on #GOPDebate: 'GOP is solely focused on... http://t๏ฟฝ","California, USA",,,,,,,,,,,,,,13-08-2016 09:54
338,No candidate mentioned,yes,1,Neutral,1,None of the above,patrickbobo,2,"RT @jstephencarter: My #hottake: Carly Fiorina became a 1st tier candidate yesterday. Otherwise, #GOPDebate changed nothing/will be ancient๏ฟฝ","Chattanooga, TN",Eastern Time (US & Canada),,,,,,,,,,,,,14-08-2016 09:54
339,Donald Trump,yes,0.6501,Negative,0.3499,Women's Issues (not abortion though),MarIntroini,0,"#GOPDebate: a lesson for coming months: quality and not quantity in words &amp; time for tangible and believable propsals
http://t.co/YHvNoEinyi",International,,,,,,,,,,,,,,15-08-2016 09:54
